,price,city_name,salon,nb_rooms,nb_baths,surface_area,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine Équipée,Duplex,Meublé,Parking,Sécurité,Terrasse
144,860000.0,Casablanca,1.0,2.0,2.0,84.0,1,1,0,0,1,1,0,0,1,1,1
145,890000.0,Casablanca,1.0,2.0,2.0,64.0,0,0,0,0,0,0,0,0,0,0,0
146,11000.0,Tanger,1.0,2.0,2.0,135.0,0,0,0,0,0,0,0,0,0,0,0
147,1820000.0,Casablanca,1.0,2.0,2.0,135.0,1,1,0,0,0,0,0,0,1,1,1
149,1400000.0,Tanger,1.0,3.0,1.0,98.0,1,1,0,0,0,0,0,0,0,0,1
150,1000000.0,Marrakech,1.0,2.0,1.0,112.0,1,0,0,0,0,0,0,0,1,0,0
151,900000.0,Kénitra,2.0,3.0,2.0,150.0,0,0,1,1,0,1,0,0,0,0,1
152,900000.0,Casablanca,1.0,1.0,2.0,67.0,1,1,0,1,1,1,0,0,0,1,0
153,25000.0,Rabat,1.0,2.0,2.0,123.0,1,1,1,1,1,1,0,0,1,1,0
154,850000.0,Agadir,1.0,2.0,2.0,75.0,1,1,1,1,1,0,0,0,0,1,1
156,895000.0,Fès,2.0,3.0,2.0,142.0,0,1,1,1,1,0,0,1,1,1,1
157,890000.0,Kénitra,2.0,2.0,2.0,117.0,1,1,1,1,1,1,0,0,1,0,0
159,890000.0,Casablanca,1.0,2.0,2.0,78.0,1,1,0,0,0,1,0,0,1,1,1
160,850000.0,Temara,1.0,2.0,1.0,88.0,0,1,1,1,1,1,0,0,1,1,1
161,1600000.0,Mohammedia,2.0,3.0,2.0,123.0,1,1,0,0,1,1,0,0,1,1,1
162,420000.0,Casablanca,1.0,3.0,1.0,56.0,0,0,0,0,0,0,0,0,0,0,0
163,1600000.0,El Mansouria,1.0,3.0,2.0,126.0,0,0,0,0,0,0,0,0,0,0,0
164,1300000.0,Casablanca,2.0,2.0,2.0,100.0,1,1,0,0,0,0,0,0,1,0,1
165,500000.0,Fès,3.0,2.0,1.0,121.0,0,0,0,0,0,0,0,0,0,1,1
166,790000.0,Temara,1.0,2.0,2.0,72.0,0,0,0,0,0,0,0,0,0,0,1
167,1900000.0,Rabat,1.0,2.0,1.0,114.0,1,1,0,0,0,0,0,0,1,0,1
168,890000.0,Salé,1.0,2.0,2.0,101.0,1,1,0,1,1,1,0,0,1,1,1
169,775000.0,Kénitra,2.0,3.0,3.0,111.0,1,1,0,0,1,1,0,0,1,1,0
170,2200000.0,Casablanca,1.0,3.0,2.0,160.0,1,1,0,1,1,1,0,1,1,0,1
171,980000.0,Marrakech,1.0,3.0,2.0,115.0,1,0,0,0,0,0,0,0,0,0,0
172,370000.0,Casablanca,1.0,2.0,1.0,54.0,0,0,0,0,0,0,0,0,0,0,0
173,592000.0,Casablanca,1.0,3.0,2.0,81.0,0,0,0,0,0,1,0,0,1,0,0
174,1900000.0,Casablanca,1.0,3.0,1.0,160.0,1,1,0,0,0,0,0,0,1,0,1
175,1200000.0,Fnideq,2.0,2.0,1.0,95.0,1,1,1,0,1,1,0,1,0,1,0
176,480000.0,Mohammedia,3.0,3.0,2.0,70.0,0,0,0,0,0,0,0,0,0,0,0
177,890000.0,Asilah,2.0,2.0,2.0,68.0,1,1,1,1,1,1,1,1,1,1,1
